source_name,organization,document_title,publication_date,url,document_type,geographic_scope,technical_scope,tier,access
BOEMRE/USCG Joint Investigation,US Dept of Interior / US Coast Guard,Report Regarding the Causes of the April 20 2010 Macondo Well Blowout,2011-09,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/dwhfinal.pdf,Government investigation,USA - Gulf of Mexico,Well control / blowout root cause,1,Free
US Chemical Safety Board,CSB,Investigation Report: Explosion and Fire at the Macondo Well,2014-06,https://www.workboat.com/offshore/deepwater-horizon-blowout-preventer-failed-due-to-unrecognized-pipe-buckling-report-says,Government investigation,USA - Gulf of Mexico,BOP / equipment failure,1,Free
Montara Commission of Inquiry,Australian Government,Report of the Montara Commission of Inquiry,2010-06,https://www.industrialinfo.com/news/article/australias-montara-field-producing-again-four-years-after-oil-spill--236162,Government investigation,Australia - Timor Sea,Well control / cementing / regulatory failure,1,Free
Norwegian Official Report NOU 1977-47,Government of Norway,Bravo blowout report,1977,https://ekofisk.industriminne.no/en/2022/06/,Government investigation,Norway - North Sea,Well control / workover,1,Free (via museum secondary source; original NOU not directly fetched)
DGH National Data Repository,Directorate General of Hydrocarbons India,NDR Brochure and Policy for E&P Data,2017-2025,https://dghindia.gov.in/assets/downloads/5926ac5d435c816_05_2017Policy_for_EandP_operations.pdf,Government data repository,India - all basins,Well/seismic/log data holdings,1,Tiered - free for academic (<=50 sq km) / commercial license otherwise
OIL India Limited - Leveraging Technology,Oil India Limited,eRTMAC and digital drilling technology pages,current,https://www.oil-india.com/drilling,Company technical publication,India - Assam / NE India / offshore,Real-time drilling monitoring,3,Free
OIL India Limited e-tender CDH6605P21,Oil India Limited,eRTMAC hiring corrigendum,2021-06,https://www.oil-india.com/files/oldtender/national/CORR6_CDH6605P21.pdf,Procurement document,India - NE India rigs,Drilling KPI / decision support center scope,3,Free
OIL India Limited EOI 014/2014,Oil India Limited,Real-time drilling data monitoring EOI,2014,https://www.oil-india.com/files/oldtender/eoi/OILCEMGCYEOI0142014.pdf,Procurement document,India - offshore rig to Delhi RTOC,Real-time WITS/WITSML data scope,3,Free
SPG India - Naga Thrust geomechanics,Oil India Limited (authors),Geomechanical Modeling and Wellbore Stability Analysis Naga Thrust Area,2023,https://www.oldv1.spgindia.org/Kochi2023-expanded-abstracts/a-case-study-of-geomechanical-modeling-and-wellbore-stability-analysis-in-the-vicinity-of-naga-thrust-area-in-the-upper-assam-basin.pdf,Technical conference paper,India - Upper Assam Basin,Wellbore instability / mud weight optimization,2,Free (abstract/paper)
SPG India - Naga Schuppen pore pressure,Oil India Limited (authors),First Order Pore Pressure Modeling in Naga Schuppen Belt,2015,https://oldv1.spgindia.org/11_biennial_form/first-order-pore-pressure-modeling-in-naga-schuppen-belt-ne-india-jaipur-2015.pdf,Technical conference paper,India - Naga Schuppen Belt,Abnormal pore pressure / NPT / well control,2,Free
SPG India - Upper Assam drilling issues,SPG India authors,Geomechanical analysis of four wells Upper Assam,2025,https://spgindia.org/spg-2025-abstract-98,Technical conference abstract,India - Upper Assam Basin,Stuck pipe / wellbore collapse / tight hole,2,Free (abstract)
Piper Alpha - Cullen Report context,UK Health and Safety Executive / IChemE,Cullen Report on Piper Alpha Disaster,1990-1991,https://www.icheme.org/knowledge-networks/knowledge-resources/safety-centre/news/cullen-report/,Government inquiry (secondary summary),UK North Sea,Process safety (production platform, not drilling),1,Free
DGH Ministry of Petroleum NDR page,Ministry of Petroleum and Natural Gas India,National Data Repository overview,current,https://mopng.gov.in/exp-and-prod/ndr,Government website,India,NDR scope and objectives,1,Free
